"Marca temporal","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría","Describe con precisión la imagen","Es gramaticalmente correcta","No tiene información incorrecta","Es relevante para la imagen","Está construida con creatividad","Podría ser la que un humano daría"
"2024/05/17 1:11:46 p. m. EEST","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo"
"2024/05/17 2:33:28 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo"
"2024/05/17 3:32:58 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo"
"2024/05/17 3:50:13 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo"
"2024/05/17 4:09:09 p. m. EEST","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo"
"2024/05/17 4:34:41 p. m. EEST","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo"
"2024/05/17 4:44:03 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/17 4:47:13 p. m. EEST","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo"
"2024/05/17 4:47:14 p. m. EEST","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo"
"2024/05/17 5:05:58 p. m. EEST","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo"
"2024/05/17 5:15:35 p. m. EEST","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo"
"2024/05/17 6:00:54 p. m. EEST","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo"
"2024/05/17 6:12:48 p. m. EEST","Totalmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo"
"2024/05/17 8:19:27 p. m. EEST","Parcialmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo"
"2024/05/17 9:39:49 p. m. EEST","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Totalmente de acuerdo","Ni de acuerdo ni en desacuerdo","Parcialmente de acuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Parcialmente de acuerdo","Totalmente en desacuerdo","Totalmente en desacuerdo","Ni de acuerdo ni en desacuerdo","Totalmente de acuerdo"
